id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date
1183601666505039873,1183541434802196481,1571027602000,2019-10-14,04:33:22,UTC,14123301,jasonct,Jason CranfordTeague,,Such a victim.,"['realdonaldtrump', 'marklevinshow']",[],[],0,0,2,[],[],https://twitter.com/JasonCT/status/1183601666505039873,False,,0,,,,,,,"[{'user_id': '14123301', 'username': 'JasonCT'}, {'user_id': '25073877', 'username': 'realDonaldTrump'}, {'user_id': '38495835', 'username': 'marklevinshow'}]",
1183601391148785664,1183601391148785664,1571027536000,2019-10-14,04:32:16,UTC,145363546,jonathandelarco,Jonathan Del Arco,,If you were a serious person with a real moral compass you would railing against @realDonaldTrump and his unspeakable actions in Syria not use this as some lame fake outrage- grow a pair you little bitch!  https://twitter.com/marcorubio/status/1183069482522152960 …,['realdonaldtrump'],['https://twitter.com/marcorubio/status/1183069482522152960'],[],3,10,92,[],[],https://twitter.com/JonathanDelArco/status/1183601391148785664,False,https://twitter.com/marcorubio/status/1183069482522152960,0,,,,,,,"[{'user_id': '145363546', 'username': 'JonathanDelArco'}, {'user_id': '25073877', 'username': 'realDonaldTrump'}]",
1183601370353545217,1183601370353545217,1571027531000,2019-10-14,04:32:11,UTC,218078497,gazetesozcu,Sözcü,,"Deniz Zeyrek yazdı: Barış Pınarı Harekatı'nı yürüten Türk Silahlı Kuvvetleri'nin (TSK) Suriye'nin kuzeyindeki ilerleyişi, terör örgütü YPG/PYD ile birlikte Amerikan Başkanı Donald Trump'ı da köşeye sıkıştırıyor.   https://www.sozcu.com.tr/2019/yazarlar/deniz-zeyrek/tsk-ilerledikce-trump-da-sikisiyor-5386942/ …",[],['https://www.sozcu.com.tr/2019/yazarlar/deniz-zeyrek/tsk-ilerledikce-trump-da-sikisiyor-5386942/'],[],2,6,62,[],[],https://twitter.com/gazetesozcu/status/1183601370353545217,False,,0,,,,,,,"[{'user_id': '218078497', 'username': 'gazetesozcu'}]",
1183601070737633281,1183601070737633281,1571027460000,2019-10-14,04:31:00,UTC,17187236,12news,12 News,,"A doctored video that showed a man with President Donald Trump's face shooting and stabbing news media and his political opponents, including late Sen. John McCain, was reportedly shown at Trump's Miami resort during a conference for his supporters.  https://www.12news.com/article/news/nation-world/doctored-trump-video-assaulting-enemies-media/507-65ea0d4c-b329-49c2-9147-4e44f8f93c9d …",[],['https://www.12news.com/article/news/nation-world/doctored-trump-video-assaulting-enemies-media/507-65ea0d4c-b329-49c2-9147-4e44f8f93c9d'],[],1,2,0,[],[],https://twitter.com/12News/status/1183601070737633281,False,,0,,,,,,,"[{'user_id': '17187236', 'username': '12News'}]",
1183600801572257792,1183600801572257792,1571027395000,2019-10-14,04:29:55,UTC,21059255,tedlieu,Ted Lieu,,Dear @realDonaldTrump: Did you read the call record released by the @WhiteHouse?  The American people did. That's why 55% support an impeachment inquiry & 51% already support a conviction.  You should also read the text messages from your diplomats.  Have a good evening. https://twitter.com/realDonaldTrump/status/1183535447919812608 …,"['realdonaldtrump', 'whitehouse']",['https://twitter.com/realDonaldTrump/status/1183535447919812608'],[],383,4086,17216,[],[],https://twitter.com/tedlieu/status/1183600801572257792,False,https://twitter.com/realDonaldTrump/status/1183535447919812608,0,,,,,,,"[{'user_id': '21059255', 'username': 'tedlieu'}, {'user_id': '25073877', 'username': 'realDonaldTrump'}, {'user_id': '822215673812119553', 'username': 'WhiteHouse'}]",
1183600188960600065,1183600188960600065,1571027249000,2019-10-14,04:27:29,UTC,17072129,ktvl,News 10,,Many citizens took the streets of downtown Ashland Sunday afternoon for a President Donald Trump impeachment rally.   https://bit.ly/2VKoBvd ,[],['https://bit.ly/2VKoBvd'],[],5,0,2,[],[],https://twitter.com/KTVL/status/1183600188960600065,False,,0,,,,,,,"[{'user_id': '17072129', 'username': 'KTVL'}]",
1183599384187015168,1183376270731763714,1571027058000,2019-10-14,04:24:18,UTC,8187772,csanz,Christian Sanz,,Spineless coward ... @LindseyGrahamSC as a veteran I’m deeply saddened and ashamed.  Pretending to be the hero after you created this carnage against our allies / humanitarian crisis,"['realdonaldtrump', 'lindseygrahamsc']",[],[],0,0,1,[],[],https://twitter.com/csanz/status/1183599384187015168,False,,0,,,,,,,"[{'user_id': '8187772', 'username': 'csanz'}, {'user_id': '25073877', 'username': 'realDonaldTrump'}, {'user_id': '432895323', 'username': 'LindseyGrahamSC'}]",
1183598808883707904,1183598808883707904,1571026920000,2019-10-14,04:22:00,UTC,15115280,palmerreport,Palmer Report,,Democratic Congressman agrees that Donald Trump is going prison   https://www.palmerreport.com/analysis/agrees-prison-donald-trump-congress/21787 …,[],['https://www.palmerreport.com/analysis/agrees-prison-donald-trump-congress/21787'],[],3,29,109,[],[],https://twitter.com/PalmerReport/status/1183598808883707904,False,,0,,,,,,,"[{'user_id': '15115280', 'username': 'PalmerReport'}]",
1183598073492185089,1183598073492185089,1571026745000,2019-10-14,04:19:05,UTC,211948211,tomphillipsin,Tom Phillips,,“Speakers at the event included Donald Trump Jr and former White House spokesperson Sarah Huckabee Sanders.”  https://twitter.com/bonniemalkin/status/1183597364725960705 …,[],['https://twitter.com/bonniemalkin/status/1183597364725960705'],[],0,1,4,[],[],https://twitter.com/tomphillipsin/status/1183598073492185089,False,https://twitter.com/bonniemalkin/status/1183597364725960705,0,,,,,,,"[{'user_id': '211948211', 'username': 'tomphillipsin'}]",
1183597989534797824,1183583298079068160,1571026725000,2019-10-14,04:18:45,UTC,15115280,palmerreport,Palmer Report,,Donald Trump begs Rudy Giuliani not to take him down   https://www.palmerreport.com/analysis/begs-rudy-down-trump-donald-giuliani/21844 …,[],['https://www.palmerreport.com/analysis/begs-rudy-down-trump-donald-giuliani/21844'],[],5,22,63,[],[],https://twitter.com/PalmerReport/status/1183597989534797824,False,,0,,,,,,,"[{'user_id': '15115280', 'username': 'PalmerReport'}]",
